codigo;nome;pop_2020;pop_2021
3300100;Angra dos Reis;207044;210171
3300159;Aperibé;11901;12036
3300209;Araruama;134293;136109
3300225;Areal;12669;12763
3300233;Armação dos Búzios;34477;35060
3300258;Arraial do Cabo;30593;30827
3300308;Barra do Piraí;100764;101139
3300407;Barra Mansa;184833;185237
3300456;Belford Roxo;513118;515239
3300506;Bom Jardim;27616;27779
3300605;Bom Jesus do Itabapoana;37203;37306
3300704;Cabo Frio;230378;234077
3300803;Cachoeiras de Macacu;59303;59652
3300902;Cambuci;15514;15521
3301009;Campos dos Goytacazes;511168;514643
3301108;Cantagalo;20168;20163
3300936;Carapebus;16586;16859
3301157;Cardoso Moreira;12821;12818
3301207;Carmo;19030;19161
3301306;Casimiro de Abreu;45041;45864
3300951;Comendador Levy Gasparian;8576;8590
3301405;Conceição de Macabu;23398;23561
3301504;Cordeiro;22041;22152
3301603;Duas Barras;11528;11563
3301702;Duque de Caxias;924624;929449
3301801;Engenheiro Paulo de Frontin;14071;14138
3301850;Guapimirim;61388;62225
3301876;Iguaba Grande;28837;29344
3301900;Itaboraí;242543;244416
3302007;Itaguaí;134819;136547
3302056;Italva;15299;15387
3302106;Itaocara;23222;23211
3302205;Itaperuna;103800;104354
3302254;Itatiaia;32064;32312
3302270;Japeri;105548;106296
3302304;Laje do Muriaé;7326;7298
3302403;Macaé;261501;266136
3302452;Macuco;5623;5646
3302502;Magé;246433;247741
3302601;Mangaratiba;45220;45941
3302700;Maricá;164504;167668
3302809;Mendes;18648;18681
3302858;Mesquita;176569;177016
3302908;Miguel Pereira;25581;25622
3303005;Miracema;27154;27134
3303104;Natividade;15311;15305
3303203;Nilópolis;162693;162893
3303302;Niterói;515317;516981
3303401;Nova Friburgo;191158;191664
3303500;Nova Iguaçu;823302;825388
3303609;Paracambi;52683;53093
3303708;Paraíba do Sul;44518;44741
3303807;Paraty;43680;44175
3303856;Paty do Alferes;27858;27942
3303906;Petrópolis;306678;307144
3303955;Pinheiral;25364;25563
3304003;Piraí;29545;29802
3304102;Porciúncula;18960;19068
3304110;Porto Real;19974;20254
3304128;Quatis;14435;14562
3304144;Queimados;151335;152311
3304151;Quissamã;25126;25535
3304201;Resende;132312;133244
3304300;Rio Bonito;60573;60930
3304409;Rio Claro;18605;18677
3304508;Rio das Flores;9344;9401
3304524;Rio das Ostras;155193;159529
3304557;Rio de Janeiro;6747815;6775561
3304607;Santa Maria Madalena;10392;10380
3304706;Santo Antônio de Pádua;42594;42705
3304755;São Francisco de Itabapoana;38710;38749
3304805;São Fidélis;42210;42214
3304904;São Gonçalo;1091737;1098357
3305000;São João da Barra;36423;36731
3305109;São João de Meriti;472906;473385
3305133;São José de Ubá;7206;7240
3305158;São José do Vale do Rio Preto;21916;22032
3305208;São Pedro da Aldeia;106049;107556
3305307;São Sebastião do Alto;9387;9416
3305406;Sapucaia;18249;18270
3305505;Saquarema;90583;91938
3305554;Seropédica;83092;83841
3305604;Silva Jardim;21774;21775
3305703;Sumidouro;15667;15709
3305752;Tanguá;34610;34898
3305802;Teresópolis;184240;185820
3305901;Trajano de Moraes;10640;10653
3306008;Três Rios;82142;82468
3306107;Valença;76869;77202
3306156;Varre-Sai;11106;11208
3306206;Vassouras;37083;37262
3306305;Volta Redonda;273988;274925
